name,ticker,institution_type,historical_open_date,does_not_sponsor,target_location
Morgan Stanley,MS,bulge_bracket,2024-01-15,false,
JP Morgan,JPM,bulge_bracket,2023-12-31,false,
Bank of America,BAC,bulge_bracket,2024-02-01,false,
Goldman Sachs,GS,bulge_bracket,2024-03-01,false,
Citigroup,C,bulge_bracket,2024-02-01,false,
UBS,UBSG,bulge_bracket,2024-01-01,false,
Deutsche Bank,DBK,bulge_bracket,2023-12-05,false,
Barclays,BARC,bulge_bracket,2024-02-02,false,
Lazard,LAZ,elite_boutique,2024-01-06,false,
Evercore,EVR,elite_boutique,2024-02-01,false,
Moelis & Company,MC,elite_boutique,2024-01-03,false,
PJT Partners,PJT,elite_boutique,2024-01-25,false,
Perella Weinberg Partners,PWP,elite_boutique,2023-12-22,false,
Centerview Partners,CVP,elite_boutique,2024-01-23,false,
Greenhill & Co.,GHL,elite_boutique,2024-02-16,false,
Blackstone,BX,private_equity,2024-01-03,false,
KKR,KKR,private_equity,2024-01-01,false,
Ares Management,ARES,private_equity,2024-01-04,false,
Bain Capital,BC,private_equity,2024-01-12,false,
Vista Equity Partners,VEP,private_equity,2024-02-06,false,
Insight Partners,INP,private_equity,2023-09-01,false,
Jefferies,JEF,middle_market,2024-02-01,false,
Guggenheim Partners,GUG,middle_market,2023-12-04,false,
Lincoln International,LIN,middle_market,2024-01-01,false,
Rothschild & Co.,ROTH,middle_market,2023-11-23,false,
Houlihan Lokey,HLI,middle_market,2023-11-16,false,
RBC Capital Markets,RY,middle_market,2023-09-11,false,
TD Cowen,TD,middle_market,2024-02-01,false,
Raymond James,RJF,middle_market,2024-01-18,false,
William Blair,WB,middle_market,2024-01-08,false,
Wells Fargo,WFC,middle_market,2024-01-07,false,
Piper Sandler,PIPR,middle_market,2024-01-29,false,
Oppenheimer & Co.,OPY,middle_market,2024-03-05,false,
BMO Capital Markets,BMO,middle_market,2024-01-26,false,
Macquarie Group,MQG,middle_market,2024-01-30,false,
HSBC,HSBA,middle_market,2024-02-09,false,
Mizuho,MFG,middle_market,2024-02-09,false,
Nomura,NMR,middle_market,2024-02-15,false,
MUFG,MUFG,middle_market,2024-01-03,false,
Truist,TFC,middle_market,2024-01-18,false,
Baird,BRD,middle_market,2024-01-08,false,
